panel: 30 date pairs

        date wing    part        1P lo        1P hi     1P width     2P width  shrink  0?
  2025-09-25    C     DII          0.0         13.2         13.2          nan    nan%    
  2025-09-25    C     FII      -5185.0       4653.0       9838.0          nan    nan% YES
  2025-09-25    C     Pro      -9359.0       9742.0      19101.0          nan    nan% YES
  2025-09-25    P  Client     -12409.2      10074.1      22483.4      22483.4   -0.0% YES
  2025-09-25    P     DII          0.4        565.3        564.9        564.9    0.0%    
  2025-09-25    P     FII      -4862.1       8150.8      13012.9      13012.9   -0.0% YES
  2025-09-25    P     Pro      -8692.2       9909.4      18601.6      18601.6    0.0% YES
  2025-10-17    C  Client     -12141.2      11768.9      23910.1      23910.1    0.0% YES
  2025-10-17    C     DII          1.1        128.7        127.6        127.6    0.0%    
  2025-10-17    C     FII      -4780.9       5536.4      10317.3      10317.3    0.0% YES
  2025-10-17    C     Pro      -9153.7       8713.1      17866.8      17866.8    0.0% YES
  2025-10-17    P  Client     -11714.5      10247.8      21962.3      21962.3   -0.0% YES
  2025-10-17    P     DII          2.2        550.6        548.4        548.4    0.0%    
  2025-10-17    P     FII      -4614.9       6980.9      11595.7      11595.7   -0.0% YES
  2025-10-17    P     Pro      -9189.0       9857.9      19046.9      19046.9   -0.0% YES
  2026-02-13    C  Client     -12631.4      12670.0      25301.3          nan    nan% YES
  2026-02-13    C     DII         -2.3         12.5         14.7          nan    nan% YES
  2026-02-13    C     FII      -6552.4       6754.8      13307.2          nan    nan% YES
  2026-02-13    C     Pro     -10532.4      10320.0      20852.4          nan    nan% YES
  2026-02-13    P  Client     -10547.0       8136.4      18683.4      18683.4    0.0% YES
  2026-02-13    P     DII          2.8        727.9        725.1        703.8    2.9%    
  2026-02-13    P     FII      -4936.5       7573.8      12510.3      12510.3    0.0% YES
  2026-02-13    P     Pro      -6808.6       7673.8      14482.4      14482.4    0.0% YES
  2026-03-09    C  Client      -3954.2       4433.6       8387.9       8387.9    0.0% YES
  2026-03-09    C     DII         -3.5          3.4          7.0          7.0   -0.0% YES
  2026-03-09    C     FII      -2776.9       2335.1       5112.0       5112.0   -0.0% YES
  2026-03-09    C     Pro      -3574.0       3355.4       6929.4       6929.4    0.0% YES
  2026-03-09    P  Client      -4766.1       3597.5       8363.6       8363.6    0.0% YES
  2026-03-09    P     DII          1.0        125.5        124.5        123.8    0.5%    
  2026-03-09    P     FII      -2265.0       3451.4       5716.4       5716.4    0.0% YES
  2026-03-09    P     Pro      -3395.5       3556.8       6952.2       6952.2    0.0% YES
  2026-04-09    C  Client      -3699.2       4213.9       7913.1       7913.1    0.0% YES
  2026-04-09    C     DII         -5.2         11.4         16.6         16.6    0.0% YES
  2026-04-09    C     FII      -2662.3       1824.6       4486.9       4486.9   -0.0% YES
  2026-04-09    C     Pro      -3105.6       3184.6       6290.2       6290.2    0.0% YES
  2026-04-09    P  Client      -3919.7       3016.2       6935.8       6935.8    0.0% YES
  2026-04-09    P     DII         -1.8        146.1        147.9        147.9   -0.0% YES
  2026-04-09    P     FII      -1844.8       2752.4       4597.2       4597.2   -0.0% YES
  2026-04-09    P     Pro      -2598.8       2852.3       5451.1       5451.1    0.0% YES
  2026-05-25    C  Client     -11091.0      10672.0      21763.0      21763.0    0.0% YES
  2026-05-25    C     DII         -9.3         53.9         63.1         63.1   -0.0% YES
  2026-05-25    C     FII      -7305.1       6970.9      14275.9      14275.9    0.0% YES
  2026-05-25    C     Pro      -8940.8       9654.7      18595.5      18595.5    0.0% YES
  2026-05-25    P  Client     -13541.0      12345.6      25886.5      25886.5    0.0% YES
  2026-05-25    P     DII         -6.5       1196.6       1203.0       1203.0    0.0% YES
  2026-05-25    P     FII      -7081.5       9969.2      17050.8      17050.8   -0.0% YES
  2026-05-25    P     Pro     -11315.1      11824.5      23139.5      23139.5    0.0% YES

============================================================================================
core participant-wing-days (Client/FII/Pro): 96
  spans zero, market+totals only : 96 / 96 (100.0%)
  two-period LP solved           : 60 / 96 (62.5%)   [failures NOT counted as identified]
  spans zero, + turnover limits  : 60 / 60 (100.0%)  [conditional on solving]
  median width shrinkage from turnover: 0.00%   max 0.00%
wrote data/processed/gamma_panel.json
