date,lo,hi,ret,park,park_next
2024-12-02,-25276403316.334198,25933358378.28055,0.006006771344862161,0.11566298827902911,0.07873465363352262
2024-12-03,-29451531746.000774,30839245845.467068,0.0074600274756395635,0.07873465363352262,0.08061040255977454
2024-12-04,-34552456554.00003,35676119216.5531,0.00042114473681520437,0.08061040255977454,0.050418354355213364
2024-12-06,-22305433368.46396,21034840151.645576,-0.0012384452251057443,0.050418354355213364,0.04834032092713183
2024-12-09,-30567355881.143097,27993533870.40135,-0.002382708345152307,0.04834032092713183,0.06479365139402737
2024-12-10,-37489012134.99101,35051190319.066895,-0.0003635403550104055,0.06479365139402737,0.04175204554086157
2024-12-11,-60801334994.34213,52399174942.91715,0.0012901233439184256,0.04175204554086157,0.23809428849429554
2024-12-13,-28483503461.83102,28428630055.73376,0.008945483874909899,0.23809428849429554,0.06930689392198275
2024-12-16,-32336994840.241867,33122147012.47177,-0.004039437506813126,0.06930689392198275,0.12496014841700008
2024-12-17,-42447718119.89174,40160912020.673645,-0.013468730047733413,0.12496014841700008,0.09607478581596891
2024-12-18,-54684810715.38785,51310493231.262054,-0.005635683760683796,0.09607478581596891,0.2116769607979473
2024-12-20,-24375794303.34762,24822294550.880005,-0.015205601272561098,0.2116769607979473,0.08922388203315719
2024-12-23,-60411328474.013596,58103532319.64457,0.00703550609432968,0.08922388203315719,0.05521746729979708
2024-12-27,-15674405088.907867,15707423834.567682,0.0026610302229033156,0.05521746729979708,0.10462099886705344
2025-01-01,-14734162079.146433,14410787304.897139,0.004148903775883062,0.10462099886705344,0.08725733408000166
2025-01-03,-11646263961.137459,12891539424.522322,-0.007602739301283967,0.08725733408000166,0.2153475937671351
2025-01-06,-10454432520.519558,10581061451.522757,-0.016192628542267662,0.2153475937671351,0.06327224855500044
2025-01-07,-13819812631.312796,13556718977.772087,0.003889304096154955,0.06327224855500044,0.10319034827868209
2025-01-08,-18972165814.01799,18156263915.15441,-0.0007993116218644181,0.10319034827868209,0.10246393268294343
2025-01-10,-11707300496.389397,11496049178.50673,-0.004037999702463213,0.10246393268294343,0.12072293033038242
2025-01-13,-13518685697.488365,12374517155.681992,-0.014747241960608504,0.12072293033038242,0.05375104074643526
2025-01-14,-18430639119.260384,16920063922.177622,0.0039028066854513987,0.05375104074643526,0.06043710570367242
2025-01-15,-26976232696.53598,25127364148.238136,0.0016029478707546563,0.06043710570367242,0.07880941018703622
2025-01-17,-13498832210.6025,12541733052.07838,-0.0046585849226571385,0.07880941018703622,0.0902758514951702
2025-01-20,-16063019424.651293,14898429915.663292,0.006100451661839701,0.0902758514951702,0.18468645415919077
2025-01-21,-15665877744.206669,14740557257.623142,-0.013711862410177855,0.18468645415919077,0.07777593292625909
2025-01-22,-25448217385.257786,24490396035.132076,0.005676524941747196,0.07777593292625909,0.12217875198616325
2025-01-24,-21984495164.05079,22515110559.706245,-0.004876030742910431,0.12217875198616325,0.09183031218390499
2025-01-27,-23373254972.677986,23600827585.8565,-0.01139129229783209,0.09183031218390499,0.11619828692858862
2025-01-28,-27627860217.631317,29420161490.087284,0.005611247024089661,0.11619828692858862,0.08544400234188172
2025-01-29,-30309765086.423054,32337380789.08333,0.008966666303673154,0.08544400234188172,0.10970326599442275
